title,company,description,apply_link,type,experience
Data Analyst,TCS,Analyze large datasets using Python and SQL. Create dashboards with Power BI.,https://careers.tcs.com/job/data-analyst,Job,Fresher
Machine Learning Engineer,Infosys,"Work on ML models using scikit-learn and TensorFlow. Data cleaning, training, and deployment.",https://infosys.com/ml-job,Job,Experienced
Data Science Intern,Google,"Assist in real-time data science projects using pandas, matplotlib, and Google Colab.",https://careers.google.com/data-science-intern,Internship,Fresher
Business Analyst,Accenture,Translate business needs into technical requirements. Client communication and process improvement.,https://accenture.com/business-analyst,Job,Experienced
AI Intern,Microsoft,Collaborate with AI research team to build predictive models. Work in a fast-paced startup environment.,https://careers.microsoft.com/ai-intern,Internship,Fresher
Backend Developer,Capgemini,Develop REST APIs with Node.js and Express. Integrate with MySQL and MongoDB databases.,https://jobs.capgemini.com/backend-developer,Job,Experienced
Data Analyst Intern,Flipkart,Support analytics team. Clean and analyze customer data to generate sales insights.,https://flipkartcareers.com/data-analyst-intern,Internship,Fresher
Full Stack Developer,Zoho,Build web apps using React and Spring Boot. Work on scalable cloud-based systems.,https://zoho.com/fullstack-developer,Job,Experienced
Python Developer,Fiverr,"Write automation scripts, integrate APIs, and build Django applications.",https://fiverr.com/job/python-developer,Job,Fresher
Digital Marketing Intern,Byju's,"Assist with SEO, social media campaigns, and content creation.",https://byjus.com/digital-marketing-intern,Internship,Fresher
Machine Learning Engineer 1,Infosys,"Work on ML models using scikit-learn and TensorFlow. Data cleaning, training, and deployment.",https://infosys.com/ml-job,Job,Experienced
Data Science Intern 2,Google,"Assist in real-time data science projects using pandas, matplotlib, and Google Colab.",https://careers.google.com/data-science-intern,Internship,Fresher
Business Analyst 3,Accenture,Translate business needs into technical requirements. Client communication and process improvement.,https://accenture.com/business-analyst,Job,Experienced
AI Intern 4,Microsoft,Collaborate with AI research team to build predictive models. Work in a fast-paced startup environment.,https://careers.microsoft.com/ai-intern,Internship,Fresher
